reference,title,author,publication title,publication year,nb pMCI,nb sMCI,time to prediction (in years),dataset,socio-demographic features,APOE,cog - general,cog - domain,cog - new / specific,T1 - voxel based,T1 - roi (whole brain),T1 - selected roi,wm hyperintensities,PET FDG,PET Amyloid,PET Tau,CSF,Amyloid status,DTI,fMRI,EEG/MEG,Others,logitudinal,feature selection,advanced feature processing,trained on AD vs CN,algorithm,cross-validation method,AUC,accuracy,balanced accuracy,sensitivity,specificity
Caminiti et al. 2018,FDG-PET and CSF biomarker accuracy in prediction of conversion to different dementias in a large multicentre MCI cohort,"Caminiti, S.P.; Ballarini, T.; Sala, A.; Cerami, C.; Presotto, L.; Santangelo, R.; Fallanca, F.; Vanoli, E.G.; Gianolli, L.; Iannaccone, S.; Magnani, G.; Perani, D.; Parnetti, L.; Eusebi, P.; Frisoni, G.; Nobili, F.; Picco, A.; Scarpini, E.; BIOMARKAPD, Project",NeuroImage: Clinical,2018,39.0,27.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,
Beer et al. 2018,Does a cognitive stress test predict progression from mild cognitive impairment to dementia equally well in clinical versus population-based settings?,"Beer, J.C.; Snitz, B.E.; Chang, C.-C.H.; Loewenstein, D.A.; Ganguli, M.",International Psychogeriatrics,2018,42.0,142.0,Not fixed,Florida ADRC program beginning in 2005 and followed annually for up to four years.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,threshold,Not needed,75.1,77.2,70.95,59.5,82.4
Beer et al. 2018,Does a cognitive stress test predict progression from mild cognitive impairment to dementia equally well in clinical versus population-based settings?,"Beer, J.C.; Snitz, B.E.; Chang, C.-C.H.; Loewenstein, D.A.; Ganguli, M.",International Psychogeriatrics,2018,45.0,390.0,Not fixed,"Monongahela-Youghiogheny Healthy Aging Team (MYHAT) study, a longitudinal study based in a region of southwestern Pennsylvania (Ganguli et al., 2009)",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,threshold,Not needed,75.7,76.8,71.30000000000001,64.4,78.2
Mathotaarachchi et al. 2017,Identifying incipient dementia individuals using machine learning and amyloid imaging,"Mathotaarachchi, Sulantha; Pascoal, Tharick A.; Shin, Monica; Benedet, Andrea L.; Kang, Min Su; Beaudry, Thomas; Fonov, Vladimir S.; Gauthier, Serge; Rosa-Neto, Pedro",Neurobiology of Aging,2017,230.0,43.0,2,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Random Forest,Validation on 2nd cohort,90.6,84.0,78.65,70.8,86.5
"Iman Beheshti, Demirel, et Matsuda 2017",Classification of Alzheimer's disease and prediction of mild cognitive impairment-to-Alzheimer's conversion from structural magnetic resource imaging using feature ranking and a genetic algorithm,"Beheshti, Iman; Demirel, Hasan; Matsuda, Hiroshi",Computers in Biology and Medicine,2017,65.0,71.0,3,ADNI,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Linear SVM,10-fold,75.08,75.0,75.075,76.92,73.23
"Iman Beheshti, Demirel, et Matsuda 2017",Classification of Alzheimer's disease and prediction of mild cognitive impairment-to-Alzheimer's conversion from structural magnetic resource imaging using feature ranking and a genetic algorithm,"Beheshti, Iman; Demirel, Hasan; Matsuda, Hiroshi",Computers in Biology and Medicine,2017,65.0,71.0,3,ADNI,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Linear SVM,10-fold,68.38,69.11,68.92,64.61,73.23
"Iman Beheshti, Demirel, et Matsuda 2017",Classification of Alzheimer's disease and prediction of mild cognitive impairment-to-Alzheimer's conversion from structural magnetic resource imaging using feature ranking and a genetic algorithm,"Beheshti, Iman; Demirel, Hasan; Matsuda, Hiroshi",Computers in Biology and Medicine,2017,65.0,71.0,3,ADNI,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Linear SVM,10-fold,68.93,68.38,68.35,67.69,69.01
M. Huang et al. 2017,Longitudinal measurement and hierarchical classification framework for the prediction of Alzheimer’s disease,"Huang, Meiyan; Yang, Wei; Feng, Qianjin; Chen, Wufan; Weiner, Michael W.; Aisen, Paul; Petersen, Ronald; Jack, Clifford R.; Jagust, William; Trojanowki, John Q.; Toga, Arthur W.; Beckett, Laurel; Green, Robert C.; Saykin, Andrew J.; Morris, John; Shaw, Leslie M.; Kaye, Jeffrey; Quinn, Joseph; Silbert, Lisa; Lind, Betty; Carter, Raina; Dolen, Sara; Schneider, Lon S.; Pawluczyk, Sonia; Beccera, Mauricio; Teodoro, Liberty; Spann, Bryan M.; Brewer, James; Vanderswag, Helen; Fleisher, Adam; Heidebrink, Judith L.; Lord, Joanne L.; Mason, Sara S.; Albers, Colleen S.; Knopman, David; Johnson, Kris; Doody, Rachelle S.; Villanueva-Meyer, Javier; Chowdhury, Munir; Rountree, Susan; Dang, Mimi; Stern, Yaakov; Honig, Lawrence S.; Bell, Karen L.; Ances, Beau; Morris, John C.; Carroll, Maria; Creech, Mary L.; Franklin, Erin; Mintun, Mark A.; Schneider, Stacy; Oliver, Angela; Marson, Daniel; Griffith, Randall; Clark, David; Geldmacher, David; Brockington, John; Roberson, Erik; Love, Marissa Natelson; Grossman, Hillel; Mitsis, Effie; Shah, Raj C.; deToledo-Morrell, Leyla; Duara, Ranjan; Varon, Daniel; Greig, Maria T.; Roberts, Peggy; Albert, Marilyn; Onyike, Chiadi; D’Agostino, Daniel; Kielb, Stephanie; Galvin, James E.; Cerbone, Brittany; Michel, Christina A.; Pogorelec, Dana M.; Rusinek, Henry; de Leon, Mony J.; Glodzik, Lidia; De Santi, Susan; Doraiswamy, P. Murali; Petrella, Jeffrey R.; Borges-Neto, Salvador; Wong, Terence Z.; Coleman, Edward; Smith, Charles D.; Jicha, Greg; Hardy, Peter; Sinha, Partha; Oates, Elizabeth; Conrad, Gary; Porsteinsson, Anton P.; Goldstein, Bonnie S.; Martin, Kim; Makino, Kelly M.; Ismail, M. Saleem; Brand, Connie; Mulnard, Ruth A.; Thai, Gaby; Mc-Adams-Ortiz, Catherine; Womack, Kyle; Mathews, Dana; Quiceno, Mary; Levey, Allan I.; Lah, James J.; Cellar, Janet S.; Burns, Jeffrey M.; Swerdlow, Russell H.; Brooks, William M.; Apostolova, Liana; Tingus, Kathleen; Woo, Ellen; Silverman, Daniel H. S.; Lu, Po H.; Bartzokis, George; Graff-Radford, Neill R.; Parfitt, Francine; Kendall, Tracy; Johnson, Heather; Farlow, Martin R.; Hake, Ann Marie; Matthews, Brandy R.; Brosch, Jared R.; Herring, Scott; Hunt, Cynthia; van Dyck, Christopher H.; Carson, Richard E.; MacAvoy, Martha G.; Varma, Pradeep; Chertkow, Howard; Bergman, Howard; Hosein, Chris; Black, Sandra; Stefanovic, Bojana; Caldwell, Curtis; Hsiung, Ging-Yuek Robin; Feldman, Howard; Mudge, Benita; Assaly, Michele; Finger, Elizabeth; Pasternack, Stephen; Rachisky, Irina; Trost, Dick; Kertesz, Andrew; Bernick, Charles; Munic, Donna; Mesulam, Marek Marsel; Lipowski, Kristine; Weintraub, Sandra; Bonakdarpour, Borna; Kerwin, Diana; Wu, Chuang-Kuo; Johnson, Nancy; Sadowsky, Carl; Villena, Teresa; Turner, Raymond Scott; Johnson, Kathleen; Reynolds, Brigid; Sperling, Reisa A.; Johnson, Keith A.; Marshall, Gad; Yesavage, Jerome; Taylor, Joy L.; Lane, Barton; Rosen, Allyson; Tinklenberg, Jared; Sabbagh, Marwan N.; Belden, Christine M.; Jacobson, Sandra A.; Sirrel, Sherye A.; Kowall, Neil; Killiany, Ronald; Budson, Andrew E.; Norbash, Alexander; Johnson, Patricia Lynn; Obisesan, Thomas O.; Wolday, Saba; Allard, Joanne; Lerner, Alan; Ogrocki, Paula; Tatsuoka, Curtis; Fatica, Parianne; Fletcher, Evan; Maillard, Pauline; Olichney, John; DeCarli, Charles; Carmichael, Owen; Kittur, Smita; Borrie, Michael; Lee, T-Y; Bartha, Rob; Johnson, Sterling; Asthana, Sanjay; Carlsson, Cynthia M.; Potkin, Steven G.; Preda, Adrian; Nguyen, Dana; Tariot, Pierre; Burke, Anna; Trncic, Nadira; Fleisher, Adam; Reeder, Stephanie; Bates, Vernice; Capote, Horacio; Rainka, Michelle; Scharre, Douglas W.; Kataki, Maria; Adeli, Anahita; Zimmerman, Earl A.; Celmins, Dzintra; Brown, Alice D.; Pearlson, Godfrey D.; Blank, Karen; Anderson, Karen; Flashman, Laura A.; Seltzer, Marc; Hynes, Mary L.; Santulli, Robert B.; Sink, Kaycee M.; Gordineer, Leslie; Williamson, Jeff D.; Garg, Pradeep; Watkins, Franklin; Ott, Brian R.; Querfurth, Henry; Tremont, Geoffrey; Salloway, Stephen; Malloy, Paul; Correia, Stephen; Rosen, Howard J.; Miller, Bruce L.; Perry, David; Mintzer, Jacobo; Spicer, Kenneth; Bachman, David; Pomara, Nunzio; Hernando, Raymundo; Sarrael, Antero; Relkin, Norman; Chaing, Gloria; Lin, Michael; Ravdin, Lisa; Smith, Amanda; Raj, Balebail Ashok; Fargher, Kristin",Scientific Reports,2017,70.0,61.0,0.5,ADNI,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,Logistic regression,10-fold,81.2,79.4,82.35,86.5,78.2
Ardekani et al. 2017,Prediction of Incipient Alzheimer’s Disease Dementia in Patients with Mild Cognitive Impairment,"Ardekani, Babak A.; Bermudez, Elaine; Mubeen, Asim M.; Bachman, Alvin H.",Journal of Alzheimer's Disease,2017,86.0,78.0,2,ADNI,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,Random Forest,out of the bag,83.0,82.3,82.1,86.0,78.2
Ardekani et al. 2017,Prediction of Incipient Alzheimer’s Disease Dementia in Patients with Mild Cognitive Impairment,"Ardekani, Babak A.; Bermudez, Elaine; Mubeen, Asim M.; Bachman, Alvin H.",Journal of Alzheimer's Disease,2017,86.0,78.0,2,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,Random Forest,out of the bag,74.0,68.3,,,
Ardekani et al. 2017,Prediction of Incipient Alzheimer’s Disease Dementia in Patients with Mild Cognitive Impairment,"Ardekani, Babak A.; Bermudez, Elaine; Mubeen, Asim M.; Bachman, Alvin H.",Journal of Alzheimer's Disease,2017,86.0,78.0,2,ADNI,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,Random Forest,out of the bag,77.0,71.9,,,
Ardekani et al. 2017,Prediction of Incipient Alzheimer’s Disease Dementia in Patients with Mild Cognitive Impairment,"Ardekani, Babak A.; Bermudez, Elaine; Mubeen, Asim M.; Bachman, Alvin H.",Journal of Alzheimer's Disease,2017,86.0,78.0,3,ADNI,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Random Forest,out of the bag,77.0,72.6,72.4,75.6,69.2
Zhu et al. 2017,A novel relational regularization feature selection method for joint regression and classification in AD diagnosis,"Zhu, X.; Suk, H.-I.; Wang, L.; Lee, S.-W.; Shen, D.",Medical Image Analysis,2017,43.0,56.0,1.5,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Linear SVM,10-fold,81.39999999999999,71.8,70.4,48.0,92.80000000000001
Zhu et al. 2017,A novel relational regularization feature selection method for joint regression and classification in AD diagnosis,"Zhu, X.; Suk, H.-I.; Wang, L.; Lee, S.-W.; Shen, D.",Medical Image Analysis,2017,43.0,56.0,1.5,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Linear SVM,10-fold,77.60000000000001,71.2,70.2,47.4,93.0
Zhao et al. 2017,Predicting MCI progression with individual metabolic network based on longitudinal FDG-PET,"Zhao, Y.; Yao, Z.; Zheng, W.; Yang, J.; Ding, Z.; Li, M.; Lu, S.","Proceedings - 2017 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2017",2017,33.0,46.0,Not fixed (1.5 to 3.5),ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Non-linear SVM,leave one out,87.2,88.6,87.25,95.7,78.8
Zhao et al. 2017,Predicting MCI progression with individual metabolic network based on longitudinal FDG-PET,"Zhao, Y.; Yao, Z.; Zheng, W.; Yang, J.; Ding, Z.; Li, M.; Lu, S.","Proceedings - 2017 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2017",2017,33.0,46.0,Not fixed (1 to 3),ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Non-linear SVM,leave one out,80.5,82.3,80.5,91.3,69.7
Zhao et al. 2017,Predicting MCI progression with individual metabolic network based on longitudinal FDG-PET,"Zhao, Y.; Yao, Z.; Zheng, W.; Yang, J.; Ding, Z.; Li, M.; Lu, S.","Proceedings - 2017 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2017",2017,33.0,46.0,Not fixed (0.5 to 2.5),ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Non-linear SVM,leave one out,88.7,89.9,88.75,95.7,81.8
Zhao et al. 2017,Predicting MCI progression with individual metabolic network based on longitudinal FDG-PET,"Zhao, Y.; Yao, Z.; Zheng, W.; Yang, J.; Ding, Z.; Li, M.; Lu, S.","Proceedings - 2017 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2017",2017,33.0,46.0,Not fixed (0.5 to 2.5),ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,Non-linear SVM,leave one out,89.2,89.9,89.15,93.5,84.8
Tong et al. 2017,A novel grading biomarker for the prediction of conversion from mild cognitive impairment to Alzheimer's disease,"Tong, T.; Gao, Q.; Guerrero, R.; Ledig, C.; Chen, L.; Rueckert, D.",IEEE Transactions on Biomedical Engineering,2017,164.0,100.0,3,"ADNI, subset as in E. Moradi et al., “Machine learning framework for early MRI-based Alzheimer’s conversion prediction in MCI subjects,” NeuroImage, vol. 104, pp. 398–412, 2015.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,Linear SVM,10-fold,81.3,78.9,79.44999999999999,76.0,82.89999999999999
Tong et al. 2017,A novel grading biomarker for the prediction of conversion from mild cognitive impairment to Alzheimer's disease,"Tong, T.; Gao, Q.; Guerrero, R.; Ledig, C.; Chen, L.; Rueckert, D.",IEEE Transactions on Biomedical Engineering,2017,164.0,100.0,3,"ADNI, subset as in E. Moradi et al., “Machine learning framework for early MRI-based Alzheimer’s conversion prediction in MCI subjects,” NeuroImage, vol. 104, pp. 398–412, 2015.",1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,Random Forest,10-fold,91.7,84.1,82.6,88.7,76.5
Tong et al. 2017,A novel grading biomarker for the prediction of conversion from mild cognitive impairment to Alzheimer's disease,"Tong, T.; Gao, Q.; Guerrero, R.; Ledig, C.; Chen, L.; Rueckert, D.",IEEE Transactions on Biomedical Engineering,2017,76.0,134.0,1.5,"ADNI, subset as in R. Cuingnet et al., “Automatic classification of patients with Alzheimer’s disease from structural MRI: A comparison of ten methods using the ADNI database,” NeuroImage, vol. 56, no. 2, pp. 766–781, 2011.",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,Linear SVM,10-fold,79.0,,76.9,86.5,67.2
Tong et al. 2017,A novel grading biomarker for the prediction of conversion from mild cognitive impairment to Alzheimer's disease,"Tong, T.; Gao, Q.; Guerrero, R.; Ledig, C.; Chen, L.; Rueckert, D.",IEEE Transactions on Biomedical Engineering,2017,76.0,134.0,1.5,"ADNI, subset as in R. Cuingnet et al., “Automatic classification of patients with Alzheimer’s disease from structural MRI: A comparison of ten methods using the ADNI database,” NeuroImage, vol. 56, no. 2, pp. 766–781, 2011.",1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,Random Forest,10-fold,83.8,,78.5,85.2,71.8
Tanpitukpongse et al. 2017,Predictive utility of marketed volumetric software tools in subjects at risk for Alzheimer disease: Do regions outside the hippocampus matter?,"Tanpitukpongse, T.P.; Mazurowski, M.A.; Ikhena, J.; Petrella, J.R.",American Journal of Neuroradiology,2017,85.0,107.0,3,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Logistic regression,leave one out,63.0,,,,
Tanpitukpongse et al. 2017,Predictive utility of marketed volumetric software tools in subjects at risk for Alzheimer disease: Do regions outside the hippocampus matter?,"Tanpitukpongse, T.P.; Mazurowski, M.A.; Ikhena, J.; Petrella, J.R.",American Journal of Neuroradiology,2017,85.0,107.0,3,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Random Forest,leave one out,60.0,,,,
Tanpitukpongse et al. 2017,Predictive utility of marketed volumetric software tools in subjects at risk for Alzheimer disease: Do regions outside the hippocampus matter?,"Tanpitukpongse, T.P.; Mazurowski, M.A.; Ikhena, J.; Petrella, J.R.",American Journal of Neuroradiology,2017,85.0,107.0,3,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,threshold,Not needed,69.0,,,,
Tanpitukpongse et al. 2017,Predictive utility of marketed volumetric software tools in subjects at risk for Alzheimer disease: Do regions outside the hippocampus matter?,"Tanpitukpongse, T.P.; Mazurowski, M.A.; Ikhena, J.; Petrella, J.R.",American Journal of Neuroradiology,2017,85.0,107.0,3,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Logistic regression,leave one out,65.0,,,,
Tanpitukpongse et al. 2017,Predictive utility of marketed volumetric software tools in subjects at risk for Alzheimer disease: Do regions outside the hippocampus matter?,"Tanpitukpongse, T.P.; Mazurowski, M.A.; Ikhena, J.; Petrella, J.R.",American Journal of Neuroradiology,2017,85.0,107.0,3,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Random Forest,leave one out,62.0,,,,
Tanpitukpongse et al. 2017,Predictive utility of marketed volumetric software tools in subjects at risk for Alzheimer disease: Do regions outside the hippocampus matter?,"Tanpitukpongse, T.P.; Mazurowski, M.A.; Ikhena, J.; Petrella, J.R.",American Journal of Neuroradiology,2017,85.0,107.0,3,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,threshold,Not needed,68.0,,,,
"Suk, Lee, et Shen 2017",Deep ensemble learning of sparse regression models for brain disease diagnosis,"Suk, H.-I.; Lee, S.-W.; Shen, D.",Medical Image Analysis,2017,167.0,266.0,1.5,ADNI,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,Neural network,10-fold,71.92,73.28,72.95,70.61,75.29
"Suk, Lee, et Shen 2017",Deep ensemble learning of sparse regression models for brain disease diagnosis,"Suk, H.-I.; Lee, S.-W.; Shen, D.",Medical Image Analysis,2017,167.0,266.0,1.5,ADNI,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,Neural network,10-fold,75.39,74.82,74.87,70.93,78.82000000000001
"Si, Yakushev, et Li 2017",A sequential tree-based classifier for personalized biomarker testing of Alzheimer's disease risk,"Si, B.; Yakushev, I.; Li, J.",IISE Transactions on Healthcare Systems Engineering,2017,100.0,87.0,No Fixed time,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Other,10-fold,,,77.0,81.0,73.0
Sanroma et al. 2017,Early prediction of alzheimer’s disease with non-local patch-based longitudinal descriptors,"Sanroma, G.; Andrea, V.; Benkarim, O.M.; Manjón, J.V.; Coupé, P.; Camara, O.; Piella, G.; González Ballester, M.A.",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2017,164.0,100.0,3,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Logistic regression,10-fold,,77.6,,,
Sanroma et al. 2017,Early prediction of alzheimer’s disease with non-local patch-based longitudinal descriptors,"Sanroma, G.; Andrea, V.; Benkarim, O.M.; Manjón, J.V.; Coupé, P.; Camara, O.; Piella, G.; González Ballester, M.A.",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2017,164.0,100.0,3,ADNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,Logistic regression,10-fold,,74.2,,,
Mubeen et al. 2017,A six-month longitudinal evaluation significantly improves accuracy of predicting incipient Alzheimer's disease in mild cognitive impairment,"Mubeen, A.M.; Asaei, A.; Bachman, A.H.; Sidtis, J.J.; Ardekani, B.A.",Journal of Neuroradiology,2017,162.0,85.0,not fixed,ADNI,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Random Forest,out of the bag,82.0,71.7,72.5,69.7,75.3
Mubeen et al. 2017,A six-month longitudinal evaluation significantly improves accuracy of predicting incipient Alzheimer's disease in mild cognitive impairment,"Mubeen, A.M.; Asaei, A.; Bachman, A.H.; Sidtis, J.J.; Ardekani, B.A.",Journal of Neuroradiology,2017,162.0,85.0,not fixed but 6 months shorter,ADNI,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,Random Forest,out of the bag,87.0,80.2,80.4,79.6,81.2
"Minhas, Khanum, Riaz, Alvi, et al. 2017",A Nonparametric Approach for Mild Cognitive Impairment to AD Conversion Prediction: Results on Longitudinal Data,"Minhas, S.; Khanum, A.; Riaz, F.; Alvi, A.; Khan, S.A.",IEEE Journal of Biomedical and Health Informatics,2017,78.0,67.0,3,ADNI,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,Other,leave one out,,89.7,89.9,87.5,92.3
"Minhas, Khanum, Riaz, Khan, et al. 2017",Trajectory based predictive modeling of conversion from mild cognitive impairment to Alzheimer's disease,"Minhas, S.; Khanum, A.; Riaz, F.; Khan, S.A.; Alvi, A.","2017 IEEE EMBS International Conference on Biomedical and Health Informatics, BHI 2017",2017,98.0,86.0,1,ADNI,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Non-linear SVM,10-fold,71.68,72.75,,,
"Minhas, Khanum, Riaz, Khan, et al. 2017",Trajectory based predictive modeling of conversion from mild cognitive impairment to Alzheimer's disease,"Minhas, S.; Khanum, A.; Riaz, F.; Khan, S.A.; Alvi, A.","2017 IEEE EMBS International Conference on Biomedical and Health Informatics, BHI 2017",2017,98.0,86.0,1,ADNI,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Non-linear SVM,10-fold,80.36,78.25,,,
"Minhas, Khanum, Riaz, Khan, et al. 2017",Trajectory based predictive modeling of conversion from mild cognitive impairment to Alzheimer's disease,"Minhas, S.; Khanum, A.; Riaz, F.; Khan, S.A.; Alvi, A.","2017 IEEE EMBS International Conference on Biomedical and Health Informatics, BHI 2017",2017,98.0,86.0,1,ADNI,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Non-linear SVM,10-fold,84.1,77.87,,,
"Minhas, Khanum, Riaz, Khan, et al. 2017",Trajectory based predictive modeling of conversion from mild cognitive impairment to Alzheimer's disease,"Minhas, S.; Khanum, A.; Riaz, F.; Khan, S.A.; Alvi, A.","2017 IEEE EMBS International Conference on Biomedical and Health Informatics, BHI 2017",2017,85.0,76.0,2,ADNI,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Non-linear SVM,10-fold,72.33,72.68,,,
"Minhas, Khanum, Riaz, Khan, et al. 2017",Trajectory based predictive modeling of conversion from mild cognitive impairment to Alzheimer's disease,"Minhas, S.; Khanum, A.; Riaz, F.; Khan, S.A.; Alvi, A.","2017 IEEE EMBS International Conference on Biomedical and Health Informatics, BHI 2017",2017,85.0,76.0,2,ADNI,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Non-linear SVM,10-fold,78.85,73.24,,,
